symbol	code	company	price	high_52w	low_52w	range_position	sector	industry	market	volume	relative_volume	market_cap	per	pbr	dividend_yield	eps_ttm	perf_1y	flags
TSE:7602	7602	レダックス	173	388	126	17.9	小売業	専門店	TSE	91400	0.22	3641319916	23.08	0.78	0.57	7.49	24.46	小型|低流動性
SAPSE:2928	2928	ＲＩＺＡＰグループ	174	250	165	10.6	生産財製造	産業コングロマリット	SAPSE	424000	1.14	103222734985	13.82	2.07	0.39	12.59	-14.29	52週安値圏
TSE:4376	4376	くふうカンパニーホールディングス	174	190	148	61.9	商業サービス	その他法人向けサービス	TSE	42100	0.96	10450805904		1.26	0	-25.89	-5.95	低流動性|赤字TTM
TSE:7851	7851	カワセコンピュータサプライ	174	295	156	12.9	消費者サービス	書籍・雑誌出版	TSE	7000	1.48	818443852	13.36	0.31	1.73	13.03	-32.82	極小時価総額|低流動性|52週安値圏
TSE:9432	9432	ＮＴＴ	174.9	180.1	142.6	86.1	通信	専門通信サービス	TSE	210983400	1.07	15112221166368	13.64	1.44	2.99	12.82	10.56	52週高値圏
TSE:3111	3111	オーミケンシ	175	294	158	12.5	素材産業	繊維	TSE	36400	6.65	1187489376		0.8	0	-69.88	-39.24	極小時価総額|低流動性|出来高過熱|赤字TTM|52週安値圏
TSE:4882	4882	Ｇ−ペルセウス	175	340	134	19.9	ヘルスケアテクノロジー	大手医薬品	TSE	454600	0.24	3354169106		2.64	0	-48.08	-48.38	小型|赤字TTM
TSE:2459	2459	アウンコンサルティング	176	564	154	5.4	商業サービス	その他法人向けサービス	TSE	16000	0.28	1343001198		4.3	0	-5.64	-30.16	極小時価総額|低流動性|赤字TTM|52週安値圏
TSE:5131	5131	リンカーズ	179	293	110	37.7	商業サービス	その他法人向けサービス	TSE	2269800	0.29	2572794924		5.35	0	-48.49	-3.76	小型|赤字TTM
TSE:1435	1435	ＲＯＢＯＴ　ＨＯＭＥ	180	277	151	23.0	金融	不動産開発	TSE	413400	1.42	16446503204	7.88	1.44	1.1	22.85	-11.33	
NAG:2467	2467	ＶＬＣセキュリティ	180	300	144	23.1	商業サービス	その他法人向けサービス	NAG	61000	4.41	2411779163		2.33	0	-29.89	-22.75	小型|低流動性|出来高過熱|赤字TTM
TSE:6147	6147	ヤマザキ	180	368	159	10.0	生産財製造	産業機械	TSE	13900	0.14	803142447		0.79	5.52	-78.87	-43.57	極小時価総額|低流動性|赤字TTM|52週安値圏
TSE:4599	4599	ステムリム	181	368	169	6.0	商業サービス	その他法人向けサービス	TSE	442200	0.38	11094572067		1.99	0	-29.68	-40.26	赤字TTM|52週安値圏
TSE:3656	3656	ＫＬＡＢ	184	446	171	4.7	テクノロジーサービス	パッケージソフトウェア	TSE	1917500	0.9	15382932358	22.17	1.31	0	8.3	3.95	52週安値圏
NAG:5343	5343	ニッコー	184	368	140	19.3	生産財製造	電気製品	NAG	14400	1.44	5302823330	6.24	1.91	0	29.51	24.32	小型|低流動性
TSE:5240	5240	ＭＯＮＯＡＩ　ＴＥＣＨＮＯＬＯＧＹ	186	380	113	27.3	テクノロジーサービス	ITサービス	TSE	73900	0.42	2220482735		2.36	0	-44.49	-29.81	小型|低流動性|赤字TTM
TSE:6029	6029	アトラグループ	188	254	134	45.0	ヘルスケアサービス	医療・看護サービス	TSE	25800	0.85	2016012857	19.95	1.16	0	9.43	-7.84	小型|低流動性
TSE:9327	9327	イー・ロジット	188	354	180	4.6	交通・輸送	航空貨物・宅配便	TSE	12300	0.76	3026013079		1.52	0	-22.06	-41.25	小型|低流動性|赤字TTM|52週安値圏
TSE:3010	3010	ポラリス・ホールディングス	189	214	161	52.8	金融	不動産開発	TSE	108700	1.02	44239464981	10.58	1.41	2.65	17.86	-10.85	
TSE:3810	3810	サイバーステップホールディングス	189	451	146	14.1	テクノロジーサービス	パッケージソフトウェア	TSE	967300	2.06	15071965698		2.37	0	-51.64	-40.75	赤字TTM|52週安値圏
TSE:7074	7074	トゥエンティーフォーセブンホールディングス	189	315	163	17.1	テクノロジーサービス	インターネットソフトウェア・サービス	TSE	3500	0.69	1561441032		30.34	0	-13.93	-32.26	極小時価総額|低流動性|赤字TTM
TSE:5952	5952	アマテイ	190	285	168	18.8	生産財製造	金属加工	TSE	11200	0.7	2235919209	16.96	1.45	2.63	11.21	3.26	小型|低流動性
TSE:7640	7640	トップカルチャー	190	278	153	29.6	小売業	専門店	TSE	22200	0.89	3317492744	4.24	1.3	0	44.82	-3.06	小型|低流動性
TSE:6926	6926	岡谷電機産業	191	238	177	23.0	電子テクノロジー	電子機器製造装置	TSE	24700	2.72	4270527691		0.71	0	-69.8	-7.73	小型|低流動性|赤字TTM
TSE:2666	2666	オートウェーブ	193	196	144	94.2	小売業	ディスカウントストア	TSE	92500	1.49	2745649996	6.38	0.62	2.11	30.27	15.57	小型|低流動性|52週高値圏
TSE:3909	3909	ショーケース	194	329	181	8.8	テクノロジーサービス	パッケージソフトウェア	TSE	4600	0.61	1976006269	2.99	0.99	0	64.81	-41.57	極小時価総額|低流動性|52週安値圏
TSE:3985	3985	テモナ	196	307	168	20.1	テクノロジーサービス	パッケージソフトウェア	TSE	14200	2.16	2074558897		2.9	0	-5.07	-36.16	小型|低流動性|赤字TTM
TSE:6198	6198	キャリア	197	297	196	1.0	商業サービス	人材サービス	TSE	2600	0.47	1675626867		0.93	0	-18.38	-33.89	極小時価総額|低流動性|赤字TTM|52週安値圏
TSE:4777	4777	ガーラ	198	303	173	19.2	テクノロジーサービス	パッケージソフトウェア	TSE	17700	0.73	5576955187		7.95	0	-7.02	-14.66	小型|低流動性|赤字TTM
TSE:6444	6444	サンデン	198	211	118	86.0	生産財製造	産業機械	TSE	176100	1.39	21971399460	4.51	0.72	0	43.88	34.69	52週高値圏
TSE:4558	4558	中京医薬品	200	218	197	14.3	小売業	ドラッグストアチェーン	TSE	13100	1.78	2125483704.0	23.77	0.81	2.5	8.41	-7.41	小型|低流動性|52週安値圏
TSE:2375	2375	スリープログループ	201	273	196	6.5	商業サービス	人材サービス	TSE	26200	0.17	4103897858.0	41.35	1.47	1	4.86	-20.55	小型|低流動性|52週安値圏
TSE:3053	3053	ペッパーフードサービス	202	220	166	66.7	消費者サービス	飲食店	TSE	303800	1.66	12346180252	74.75	3.56	0	2.7	8.6	
TSE:2435	2435	シダー	204	264	201	4.8	ヘルスケアサービス	病院・介護施設運営	TSE	61500	6.37	2311539104	4.75	1.2	3.88	42.95	-6.42	小型|低流動性|出来高過熱|52週安値圏
TSE:3680	3680	ホットリンク	204	291	192	12.1	テクノロジーサービス	ITサービス	TSE	8000	0.18	3168488174		0.8	3.02	-106.83	-32.67	小型|低流動性|赤字TTM|52週安値圏
TSE:3903	3903	ＧＵＭＩ	204	636	191	2.9	テクノロジーサービス	パッケージソフトウェア	TSE	1270400	1.13	10618503956		0.56	0	-31.25	-67.2	赤字TTM|52週安値圏
TSE:4260	4260	ハイブリッドテクノロジーズ	205	380	194	5.9	テクノロジーサービス	パッケージソフトウェア	TSE	6700	0.17	2333174836		1.17	0	-6.08	-46.34	小型|低流動性|赤字TTM|52週安値圏
TSE:6195	6195	ホープ	205	267	184	25.3	公益事業	電気事業	TSE	18900	1.09	3370367851	17.23	3.12	0	11.9	0.49	小型|低流動性
TSE:2183	2183	リニカル	206	355	198	5.1	商業サービス	その他法人向けサービス	TSE	21200	0.67	4630219240		1.45	3.9	-167.75	-40.46	小型|低流動性|赤字TTM|52週安値圏
TSE:4766	4766	ピーエイ	208	298	177	25.6	商業サービス	商業印刷・フォーム	TSE	11200	1.17	2204340811	22.62	4.59	0	9.2	-25.45	小型|低流動性
TSE:3753	3753	フライトソリューションズ	210	265	125	60.7	電子テクノロジー	コンピューター処理ハードウェア	TSE	86500	0.62	3112477081	43.44	3.44	0	4.83	5	小型|低流動性
TSE:8077	8077	小林産業	210	274	198	15.8	流通サービス	卸売業者	TSE	8500	0.71	4778389606	6.95	0.33	2.86	30.21	-20.45	小型|低流動性
TSE:4017	4017	クリーマ	211	297	191	18.9	小売業	インターネット小売	TSE	6100	1.32	1442800267	43.81	1.24	0	4.82	-29.9	極小時価総額|低流動性
TSE:7707	7707	プレシジョン・システム・サイエンス	211	299	175	29.0	ヘルスケアテクノロジー	専門医療製品	TSE	65000	1.04	5810031109	14.65	1.42	0.95	14.4	-0.47	小型|低流動性
TSE:297A	297A	アルピコホールディングス	212	260	206	11.1	商業サービス	その他法人向けサービス	TSE	31200	1.05	15004894295	8.03	0.94	2.37	26.41	-6.61	低流動性|52週安値圏
TSE:4714	4714	リソー教育グループ	214	229	187	64.3	消費者サービス	その他消費者向けサービス	TSE	834500	1.21	36201461929	19.89	3.51	4.69	10.76	-4.04	
TSE:3137	3137	ファンデリー	215	337	185	19.7	交通・輸送	航空貨物・宅配便	TSE	30300	0.92	2760643091	47.03	10.11	0	4.57	-11.89	小型|低流動性
TSE:3550	3550	スタジオアタオ	215	243	185	51.7	非耐久消費財	日用雑貨	TSE	4200	0.26	3043360764	18.11	1.15	2.3	11.87	-6.52	小型|低流動性
TSE:4056	4056	ニューラルグループ	215	768	200	2.6	テクノロジーサービス	パッケージソフトウェア	TSE	232100	0.48	3506957382		2.43	0	-24.48	-68.89	小型|赤字TTM|52週安値圏
TSE:3996	3996	サインポスト	216	388	165	22.9	ヘルスケアサービス	医療・看護サービス	TSE	58100	1.9	2741210495	23.99	1.46	0	9.0	-40.17	小型|低流動性
TSE:7035	7035	ＡＮＦＡＣ	216	339	201	10.9	テクノロジーサービス	ITサービス	TSE	64600	1.01	2455314980		2.84	0	-17.11	-11.11	小型|低流動性|赤字TTM|52週安値圏
TSE:9439	9439	エム・エイチ・グループ	218	317	210	7.5	消費者サービス	その他消費者向けサービス	TSE	8200	1.36	3429835914		6.08	0	-9.17	-0.91	小型|低流動性|赤字TTM|52週安値圏
TSE:3372	3372	関門海	220	265	217	6.2	消費者サービス	飲食店	TSE	25300	2.13	3027442196	32.77	2.28	0	6.71	-14.06	小型|低流動性|52週安値圏
